"gps_geohash_08","gps_ghash_lon","gps_ghash_lat","mean_dbm","events"
"ezjqh19m","-3.689518","40.438873","-101.52640434400215","26151"
"ezjq5cxb","-3.691578","40.43801","-82.792756939608","10072"
"ezjq5cxc","-3.691578","40.438187","-83.50734985300294","9542"
"ezjqh19j","-3.6898613","40.438873","-97.1356901481674","7696"
"ezjqh180","-3.6912346","40.43801","-83.59727141545324","7636"
"ezjq5bgx","-3.6974144","40.435097","-95.16406352539704","7622"
"ezjq5cgs","-3.6974144","40.44007","-96.13027078000809","7428"
"ezjqh16x","-3.6878014","40.437843","-90.71270793564221","7338"
"ezjqh12p","-3.6912346","40.437843","-86.51611472501479","6778"
"ezjq5cuz","-3.6956978","40.44059","-95.88642238102479","6578"
"ezjq5chx","-3.696041","40.43647","-106.53153440843046","6263"
"ezjqh12n","-3.6912346","40.437668","-90.44869906725577","6127"
"ezjqh0b3","-3.6908913","40.434067","-97.0220848056537","5660"
"ezjq5ckd","-3.696041","40.43698","-102.39903264812575","4964"
"ezjq5but","-3.696041","40.434753","-87.04062053480303","4899"
"ezjqh181","-3.6912346","40.438187","-83.92910447761194","4833"
"ezjq5cpq","-3.6922646","40.436295","-105.75131054728455","4769"
"ezjq5chr","-3.6963844","40.43647","-101.66366366366367","4665"
"ezjq5cw9","-3.6932945","40.438187","-86.51162275846801","4527"
"ezjq5cq3","-3.6936378","40.436813","-81.92062790183506","4523"
"ezjq5bz3","-3.6922646","40.434067","-92.62964611618072","4496"
"ezjq5ct9","-3.6946678","40.438187","-88.8313953488372","4475"
"ezjq5cm7","-3.6950111","40.437157","-90.6713174748399","4418"
"ezjq5buv","-3.6956978","40.434753","-90.36613536613537","4331"
"ezjq5cx8","-3.6919212","40.43801","-79.12545854732208","4102"
"ezjq5cwc","-3.6929512","40.438187","-84.0864040660737","3941"
"ezjq5ck2","-3.6963844","40.436638","-96.47627643115008","3880"
"ezjq5cy2","-3.6936378","40.439384","-101.10488245931283","3871"
"ezjqh190","-3.6898613","40.43801","-78.22773837667455","3817"
"ezjq5cw3","-3.6936378","40.438187","-88.11231501057082","3793"
"ezjqh10f","-3.6902046","40.435608","-111.84970635344368","3746"
"ezjq5cw1","-3.6939812","40.438187","-91.14347009922231","3741"
"ezjq5ctc","-3.6943245","40.438187","-90.89962121212122","3707"
"ezjq5ct3","-3.6950111","40.438187","-87.05778141182884","3677"
"ezjq5cx1","-3.6926079","40.438187","-82.68041836141778","3448"
"ezjq5fh7","-3.6963844","40.441277","-114.20326150262085","3434"
"ezjq5cs6","-3.6963844","40.438354","-77.82665094339623","3392"
"ezjq5bzd","-3.6919212","40.434235","-92.6264298615292","3327"
"ezjq5f5w","-3.6974144","40.441788","-96.28200312989046","3205"
"ezjq5cx2","-3.6922646","40.43801","-79.56757604264659","3197"
"ezjqh0g2","-3.6867714","40.43389","-79.39709595959596","3171"
"ezjq5cx9","-3.6919212","40.438187","-80.86065051020408","3141"
"ezjqh10c","-3.6902046","40.43544","-111.30614886731392","3093"
"ezjq5cuy","-3.6956978","40.440414","-105.59228024651314","3083"
"ezjq5bz2","-3.6922646","40.43389","-97.05839656878918","3033"
"ezjq5fn4","-3.6939812","40.4411","-85.88644688644689","3003"
"ezjq5cmt","-3.6946678","40.4375","-103.27","3001"
"ezjqh192","-3.689518","40.43801","-78.65519568151147","2970"
"ezjq5cgu","-3.697071","40.44007","-96.56529093369419","2957"
"ezjqh12j","-3.6912346","40.4375","-92.13432835820896","2952"
"ezjqh17z","-3.6860847","40.437843","-83.84515688949523","2938"
"ezjqh0un","-3.6857414","40.43492","-104.52939130434783","2878"
"ezjq5cs4","-3.6967278","40.438354","-73.69599148634268","2824"
"ezjq5ct1","-3.6953545","40.438187","-86.37312365975697","2798"
"ezjq5cef","-3.697071","40.438354","-71.24685138539043","2784"
"ezjqh12x","-3.690548","40.437843","-78.3013352580296","2781"
"ezjq5ced","-3.6974144","40.438354","-68.27094668117519","2762"
"ezjq5byz","-3.6929512","40.435097","-91.36172566371681","2724"
"ezjq5cx0","-3.6926079","40.43801","-81.61146496815287","2673"
"ezjq5fnh","-3.6939812","40.441444","-80.42608695652174","2662"
"ezjq5cvw","-3.6946678","40.440414","-98.75400457665904","2622"
"ezjq5bez","-3.697071","40.433723","-101.41673062164236","2606"
"ezjqh1d8","-3.6878014","40.43801","-88.56516724336794","2602"
"ezjqh198","-3.6891747","40.43801","-80.30007704160246","2601"
"ezjqh182","-3.6908913","40.43801","-79.283055447848","2586"
"ezjq5csd","-3.696041","40.438354","-82.99183832102604","2580"
"ezjqh18b","-3.6902046","40.43801","-76.97793538219071","2543"
"ezjqh0b1","-3.6912346","40.434067","-90.52955082742317","2542"
"ezjq5cx3","-3.6922646","40.438187","-78.7131969514641","2496"
"ezjqh186","-3.6908913","40.438354","-80.54361306324928","2423"
"ezjqh17p","-3.6871147","40.437843","-90.38105088953247","2418"
"ezjq5ck8","-3.696041","40.436638","-103.95141196013289","2411"
"ezjqh12z","-3.6902046","40.437843","-77.55439330543933","2405"
"ezjq5cks","-3.696041","40.437325","-104.15264928511354","2397"
"ezjqh187","-3.6908913","40.43853","-80.65171835708298","2392"
"ezjq5byx","-3.6932945","40.435097","-85.72688898269313","2372"
"ezjq5cux","-3.696041","40.44059","-93.45315811784654","2364"
"ezjqh1dc","-3.687458","40.438187","-99.6157487091222","2324"
"ezjq5cxv","-3.691578","40.438873","-87.95075593952484","2320"
"ezjqh17x","-3.686428","40.437843","-85.80379473911168","2319"
"ezjq5bur","-3.6963844","40.435097","-79.52294372294372","2318"
"ezjq5fjt","-3.6946678","40.44162","-71.43931398416886","2283"
"ezjq5cgt","-3.6974144","40.440247","-93.43015030946066","2263"
"ezjqh16n","-3.688488","40.437668","-104.64559819413093","2215"
"ezjq5cue","-3.696041","40.439903","-105.85266030013642","2199"
"ezjqh17r","-3.6867714","40.437843","-84.95705801735953","2192"
"ezjq5c58","-3.6974144","40.435265","-101.1784886416319","2158"
"ezjq5fhn","-3.6967278","40.441788","-100.98598130841121","2155"
"ezjq5bve","-3.6946678","40.43441","-95.53377110694184","2133"
"ezjqh19q","-3.689518","40.43904","-106.53311258278146","2116"
"ezjq5fju","-3.6943245","40.441444","-75.39798367738838","2087"
"ezjq5bvr","-3.6950111","40.435097","-84.16562650024004","2085"
"ezjq5f5s","-3.6974144","40.441444","-97.28676111382511","2048"
"ezjq5fhw","-3.696041","40.441788","-92.0053974484789","2047"
"ezjqh16z","-3.687458","40.437843","-92.02806499261447","2036"
"ezjqh18k","-3.6908913","40.438698","-81.23046488625124","2026"
"ezjq5fjc","-3.6943245","40.440933","-89.7205153617443","2018"
"ezjq5csf","-3.6956978","40.438354","-85.0762331838565","2017"
"ezjq5bup","-3.6967278","40.435097","-78.93373193821624","2012"
"ezjqh1kp","-3.6857414","40.437843","-82.58170914542728","2005"
"ezjq5bvp","-3.6953545","40.435097","-83.9165409753645","1997"
"ezjq5cgx","-3.6974144","40.44059","-90.53187149413564","1968"
"ezjqh16r","-3.6881447","40.437843","-87.6870852475753","1966"
"ezjqh0gx","-3.686428","40.435097","-80.2508978963571","1957"
"ezjq5bux","-3.696041","40.435097","-81.18839835728953","1952"
"ezjq5cs3","-3.6963844","40.438187","-80.18120456905504","1929"
"ezjqh12r","-3.6908913","40.437843","-78.8421327757449","1916"
